SimulationStep,action,p1_duration,p2_duration
25286,9,44,76
25406,9,44,76
25526,9,44,76
25646,9,44,76
25766,11,48,72
25886,9,44,76
26006,9,44,76
26126,0,26,94
26246,6,38,82
26366,9,44,76
26486,9,44,76
26606,5,36,84
26726,7,40,80
26846,13,52,68
26966,9,44,76
27086,13,52,68
27206,9,44,76
27326,13,52,68
27446,7,40,80
27566,7,40,80
27686,7,40,80
27806,13,52,68
27926,0,26,94
28046,13,52,68
28166,5,36,84
28286,11,48,72
28406,9,44,76
28526,9,44,76
28646,7,40,80
28766,13,52,68
28886,13,52,68
29006,7,40,80
29126,0,26,94
29246,5,36,84
29366,9,44,76
29486,7,40,80
29606,9,44,76
29726,13,52,68
29846,13,52,68
29966,6,38,82
30086,6,38,82
30206,13,52,68
30326,5,36,84
30446,13,52,68
30566,9,44,76
30686,13,52,68
30806,13,52,68
30926,13,52,68
31046,13,52,68
31166,5,36,84
31286,9,44,76
31406,5,36,84
31526,11,48,72
31646,7,40,80
31766,9,44,76
31886,7,40,80
32006,7,40,80
32126,13,52,68
32246,13,52,68
32366,13,52,68
32486,9,44,76
32606,9,44,76
32726,13,52,68
32846,7,40,80
32966,9,44,76
33086,11,48,72
33206,12,50,70
33326,13,52,68
33446,13,52,68
33566,9,44,76
33686,6,38,82
33806,9,44,76
33926,7,40,80
34046,13,52,68
34166,7,40,80
34286,13,52,68
34406,7,40,80
34526,13,52,68
34646,9,44,76
34766,9,44,76
34886,13,52,68
35006,13,52,68
35126,13,52,68
35246,7,40,80
35366,9,44,76
35486,13,52,68
35606,7,40,80
35726,5,36,84
35846,13,52,68
35966,6,38,82
